total_pop,pop_white_non_hisp,pop_black,pop_asian,pop_hispanic,median_hh_income,pop_poverty,pop_poverty_total,labor_force,unemployed,median_gross_rent,housing_units_total,housing_units_vacant,median_year_built,avg_household_size,lor_total,lor_2019_or_later,lor_2015_2018,lor_2010_2014,lor_2000_2009,lor_1990_1999,lor_1989_or_earlier,lang_total,lang_english_only,lang_spanish,lang_french,lang_chinese,lang_vietnamese,lang_tagalog,lang_korean,renter_households_total,burden_30_35,burden_35_40,burden_40_50,burden_50_plus,nativity_total,pop_foreign_born,citizenship_total,pop_naturalized,pop_noncitizen,hh_lang_total,hh_limited_eng_spanish,hh_limited_eng_indoeuropean,hh_limited_eng_apilang,hh_limited_eng_other,pub_assist_total,pub_assist_or_snap,renter_hh_total,renter_hh_no_vehicle,GEO_ID,state,county,tract,inc_dist_total,inc_under_10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,id,pct_white,pct_black,pct_asian,pct_hispanic,unemployment,poverty_rate,vacancy_rate,occupancy_rate,rent_burden,pct_lor_2019_or_later,pct_lor_2015_2018,pct_lor_2010_2014,pct_lor_2000_2009,pct_lor_1990_1999,pct_lor_1989_or_earlier,pct_lang_english_only,pct_lang_spanish,pct_lang_french,pct_lang_chinese,pct_lang_vietnamese,pct_lang_tagalog,pct_lang_korean,pct_foreign_born,pct_naturalized,pct_noncitizen,pct_limited_eng_spanish,pct_limited_eng_indoeuropean,pct_limited_eng_apilang,pct_limited_eng_other,pct_limited_eng_any,pct_pub_assist_or_snap,pct_renter_no_vehicle,pct_under_35k
2010.0,314.0,878.0,388.0,235.0,34250.0,555.0,2010.0,928.0,181.0,1038.0,837.0,64.0,1974.0,2.6,2010.0,1644.0,46.0,42.0,1099.0,360.0,84.0,,,,,,,,,649.0,68.0,45.0,77.0,121.0,2010.0,479.0,2010.0,255.0,224.0,773.0,0.0,0.0,55.0,0.0,773.0,284.0,649.0,280.0,1400000US06001402500,06,001,402500,773.0,109.0,118.0,10.0,83.0,32.0,45.0,402500,15.6,43.7,19.3,11.7,19.5,27.6,7.6,92.4,47.9,81.8,2.3,2.1,54.7,17.9,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,12.7,11.1,0.0,0.0,7.1,0.0,7.1,36.7,43.1,51.4
1300.0,123.0,500.0,479.0,76.0,45560.0,234.0,1300.0,651.0,52.0,1153.0,669.0,54.0,1977.0,2.11,1300.0,1094.0,15.0,177.0,401.0,473.0,12.0,,,,,,,,,507.0,56.0,56.0,15.0,99.0,1300.0,553.0,1300.0,336.0,217.0,615.0,6.0,0.0,109.0,13.0,615.0,148.0,507.0,168.0,1400000US06001402600,06,001,402600,615.0,69.0,109.0,26.0,22.0,5.0,30.0,402600,9.5,38.5,36.8,5.8,8.0,18.0,8.1,91.9,44.6,84.2,1.2,13.6,30.8,36.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,25.8,16.7,1.0,0.0,17.7,2.1,20.8,24.1,33.1,42.4
2039.0,523.0,763.0,312.0,347.0,115750.0,390.0,2039.0,1214.0,86.0,1853.0,825.0,90.0,1938.0,2.77,2039.0,1190.0,82.0,524.0,277.0,171.0,43.0,,,,,,,,,500.0,28.0,14.0,25.0,80.0,2039.0,326.0,2039.0,233.0,93.0,735.0,13.0,0.0,14.0,0.0,735.0,101.0,500.0,130.0,1400000US06001402700,06,001,402700,735.0,109.0,40.0,32.0,16.0,27.0,4.0,402700,25.6,37.4,15.3,17.0,7.1,19.1,10.9,89.1,29.4,58.4,4.0,25.7,13.6,8.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.4,4.6,1.8,0.0,1.9,0.0,3.7,13.7,26.0,31.0
3254.0,869.0,1411.0,620.0,148.0,74931.0,394.0,3254.0,1982.0,124.0,1597.0,1798.0,91.0,2002.0,1.87,3191.0,2837.0,226.0,438.0,1393.0,780.0,0.0,,,,,,,,,1473.0,221.0,118.0,47.0,314.0,3254.0,1142.0,3254.0,708.0,434.0,1707.0,8.0,18.0,109.0,0.0,1707.0,376.0,1473.0,689.0,1400000US06001402801,06,001,402801,1707.0,96.0,188.0,18.0,85.0,25.0,198.0,402801,26.7,43.4,19.1,4.5,6.3,12.1,5.1,94.9,47.5,88.9,7.1,13.7,43.7,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,21.8,13.3,0.5,1.1,6.4,0.0,7.9,22.0,46.8,35.7
1430.0,329.0,613.0,252.0,51.0,,591.0,1430.0,723.0,120.0,755.0,900.0,183.0,1959.0,1.47,1057.0,1017.0,108.0,360.0,353.0,196.0,0.0,,,,,,,,,691.0,72.0,6.0,67.0,200.0,1430.0,197.0,1430.0,151.0,46.0,717.0,0.0,0.0,58.0,0.0,717.0,147.0,691.0,446.0,1400000US06001402802,06,001,402802,717.0,124.0,131.0,94.0,6.0,6.0,18.0,402802,23.0,42.9,17.6,3.6,16.6,41.3,20.3,79.7,49.9,96.2,10.2,34.1,33.4,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,10.6,3.2,0.0,0.0,8.1,0.0,8.1,20.5,64.5,52.9
1828.0,365.0,408.0,806.0,182.0,37973.0,446.0,1776.0,1020.0,70.0,1468.0,1518.0,282.0,1980.0,1.43,1764.0,1764.0,253.0,381.0,841.0,200.0,75.0,,,,,,,,,1236.0,153.0,43.0,97.0,249.0,1828.0,804.0,1828.0,461.0,343.0,1236.0,0.0,7.0,363.0,12.0,1236.0,268.0,1236.0,727.0,1400000US06001402900,06,001,402900,1236.0,201.0,183.0,27.0,173.0,0.0,16.0,402900,20.0,22.3,44.1,10.0,6.9,25.1,18.6,81.4,43.9,100.0,14.3,21.6,47.7,11.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,25.2,18.8,0.0,0.6,29.4,1.0,30.9,21.7,58.8,48.5
2897.0,250.0,146.0,2222.0,62.0,32077.0,882.0,2897.0,1332.0,115.0,931.0,1974.0,408.0,1981.0,1.85,2897.0,2016.0,283.0,362.0,704.0,480.0,177.0,,,,,,,,,1083.0,57.0,24.0,108.0,239.0,2897.0,2100.0,2897.0,1270.0,830.0,1566.0,11.0,11.0,588.0,0.0,1566.0,508.0,1083.0,586.0,1400000US06001403000,06,001,403000,1566.0,226.0,217.0,57.0,129.0,100.0,67.0,403000,8.6,5.0,76.7,2.1,8.6,30.4,20.7,79.3,39.5,69.6,9.8,12.5,24.3,16.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,43.8,28.7,0.7,0.7,37.5,0.0,39.0,32.4,54.1,50.8
1941.0,767.0,323.0,537.0,241.0,136071.0,288.0,1773.0,1200.0,110.0,2793.0,1233.0,273.0,2002.0,1.68,1609.0,988.0,210.0,285.0,388.0,86.0,19.0,,,,,,,,,623.0,30.0,58.0,35.0,142.0,1941.0,580.0,1941.0,324.0,256.0,960.0,0.0,0.0,175.0,0.0,960.0,47.0,623.0,307.0,1400000US06001403100,06,001,403100,960.0,65.0,33.0,74.0,30.0,0.0,8.0,403100,39.5,16.6,27.7,12.4,9.2,16.2,22.1,77.9,42.5,61.4,13.1,17.7,24.1,5.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,16.7,13.2,0.0,0.0,18.2,0.0,18.2,4.9,49.3,21.9
1830.0,187.0,51.0,1262.0,38.0,34417.0,468.0,1830.0,966.0,16.0,1890.0,849.0,78.0,1974.0,2.37,1828.0,1644.0,19.0,84.0,1091.0,312.0,73.0,,,,,,,,,667.0,66.0,32.0,16.0,313.0,1830.0,1125.0,1830.0,1036.0,89.0,771.0,0.0,0.0,291.0,0.0,771.0,271.0,667.0,271.0,1400000US06001403301,06,001,403301,771.0,34.0,155.0,127.0,17.0,16.0,47.0,403301,10.2,2.8,69.0,2.1,1.7,25.6,9.2,90.8,64.0,89.9,1.0,4.6,59.7,17.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,56.6,4.9,0.0,0.0,37.7,0.0,37.7,35.1,40.6,51.4
2556.0,1317.0,123.0,559.0,158.0,148235.0,36.0,2556.0,2120.0,13.0,3095.0,1708.0,292.0,2002.0,1.79,2537.0,1765.0,334.0,842.0,569.0,20.0,0.0,,,,,,,,,878.0,40.0,45.0,35.0,102.0,2556.0,385.0,2556.0,217.0,168.0,1416.0,0.0,0.0,15.0,0.0,1416.0,44.0,878.0,131.0,1400000US06001403302,06,001,403302,1416.0,0.0,0.0,40.0,15.0,0.0,39.0,403302,51.5,4.8,21.9,6.2,0.6,1.4,17.1,82.9,25.3,69.6,13.2,33.2,22.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,8.5,6.6,0.0,0.0,1.1,0.0,1.1,3.1,14.9,6.6
