tract_2010,tract_2020,area_pct
430102,408000,0.0005
408100,408100,0.9946
430102,408100,0.0027
408200,408200,1.0
407800,408300,0.0135
408300,408300,1.0
408400,408400,1.0
408500,408500,1.0
408600,408600,0.998
408600,408700,0.002
408700,408700,1.0
408800,408800,0.9793
408800,408900,0.0207
408900,408900,1.0
409000,409000,0.9973
428301,409000,0.0882
432400,409000,0.0061
409100,409100,1.0
409200,409200,0.9762
432502,409200,0.0004
409300,409300,0.9992
409400,409400,1.0
409500,409500,1.0
409600,409600,1.0
409700,409700,1.0
409800,409800,1.0
409900,409900,0.9619
430102,409900,0.0001
410000,410000,0.9564
430102,410000,0.0
430400,410000,0.0042
432100,410000,0.0214
432800,410000,0.0032
410000,410100,0.0036
410100,410100,1.0
410200,410200,1.0
410300,410300,1.0
410400,410400,1.0
410500,410500,0.9895
420100,420100,0.9971
420200,420100,0.0085
421300,420100,0.0158
420200,420200,0.9915
420300,420301,0.3187
420300,420302,0.6672
420400,420302,0.0
420400,420401,0.1754
422000,420401,0.0013
420300,420402,0.001
420400,420402,0.8246
422000,420402,0.0013
420500,420500,0.9975
420600,420500,0.0017
421900,420500,0.0051
420600,420600,0.9942
421300,420600,0.0052
421900,420600,0.0082
421100,421100,1.0
421200,421200,0.9843
420600,421300,0.0038
421300,421300,0.979
421400,421400,1.0
421500,421500,0.9976
421600,421600,0.9901
422600,421600,0.005
421700,421700,1.0
421800,421800,1.0
420500,421900,0.0025
420600,421900,0.0002
421900,421900,0.9867
422000,422000,0.9968
425102,422000,0.0058
422100,422100,1.0
422200,422200,1.0
422300,422300,1.0
422400,422400,1.0
422500,422500,0.9988
422600,422500,0.0034
400100,422700,0.0007
422700,422700,0.9927
422800,422800,1.0
422900,422901,0.2918
422900,422902,0.7082
423000,423000,1.0
423100,423100,1.0
423200,423200,1.0
423300,423300,1.0
423400,423400,1.0
423500,423500,1.0
423601,423601,1.0
423602,423602,1.0
400100,423700,0.0006
423700,423700,0.9736
400100,423800,0.002
400200,423800,0.0133
400400,423800,0.0013
404300,423800,0.0052
423800,423800,0.9993
423902,423800,0.04
400500,423901,0.0032
400700,423901,0.001
423901,423901,0.9908
423902,423902,0.9196
400700,424001,0.0055
424001,424001,0.9811
400700,424002,0.0001
400800,424002,0.0102
424002,424002,0.9686
401700,425101,0.0109
425101,425101,1.0
401700,425102,0.0029
422000,425102,0.0
425102,425102,0.9942
422000,425103,0.0006
425103,425103,0.9986
400700,425104,0.0002
400900,425104,0.0144
401000,425104,0.0039
401700,425104,0.0011
425104,425104,0.9849
403800,426100,0.0076
404200,426100,0.0065
404501,426100,0.0228
404700,426100,0.0055
404900,426100,0.0007
405000,426100,0.0085
405100,426100,0.0031
426100,426100,0.9961
403800,426200,0.0013
403900,426200,0.0036
404101,426200,0.0034
426200,426200,0.9979
406100,427100,0.0
407300,427100,0.0
427100,427100,1.0
406000,427200,0.0
427200,427200,1.0
406000,427300,0.0
427300,427300,0.9983
427600,427600,1.0
427700,427700,1.0
427800,427800,1.0
427900,427900,1.0
428000,428000,1.0
428100,428100,1.0
428200,428200,1.0
409000,428301,0.0003
