total_pop,pop_white_non_hisp,pop_black,pop_asian,pop_hispanic,median_hh_income,pop_poverty,pop_poverty_total,labor_force,unemployed,median_gross_rent,housing_units_total,housing_units_vacant,median_year_built,avg_household_size,renter_households_total,burden_30_35,burden_35_40,burden_40_50,burden_50_plus,state,county,tract,id,pct_white,pct_black,pct_asian,pct_hispanic,unemployment,poverty_rate,vacancy_rate,occupancy_rate,rent_burden
6511.0,4364.0,62.0,1160.0,626.0,103088.0,172.0,6459.0,3468.0,215.0,2001.0,2424.0,64.0,1961.0,2.72,172.0,55.0,0.0,0.0,0.0,06,001,430200,430200,67.0,1.0,17.8,9.6,6.2,2.7,2.6,97.4,32.0
3793.0,1441.0,769.0,357.0,961.0,58750.0,273.0,3740.0,2065.0,130.0,1123.0,1705.0,154.0,1944.0,2.4,815.0,59.0,47.0,39.0,239.0,06,001,432200,432200,38.0,20.3,9.4,25.3,6.3,7.3,9.0,91.0,47.1
5638.0,1197.0,966.0,1255.0,1920.0,57750.0,516.0,5586.0,3108.0,437.0,1257.0,1848.0,97.0,1956.0,3.22,976.0,107.0,43.0,132.0,138.0,06,001,432400,432400,21.2,17.1,22.3,34.1,14.1,9.2,5.2,94.8,43.0
8613.0,1077.0,1116.0,2835.0,3246.0,54562.0,862.0,8446.0,4158.0,526.0,1287.0,2563.0,71.0,1960.0,3.41,1411.0,131.0,114.0,140.0,392.0,06,001,433800,433800,12.5,13.0,32.9,37.7,12.7,10.2,2.8,97.2,55.1
5143.0,931.0,977.0,631.0,2466.0,43281.0,1104.0,4976.0,2399.0,326.0,1034.0,1836.0,174.0,1961.0,3.03,1145.0,88.0,58.0,26.0,293.0,06,001,434000,434000,18.1,19.0,12.3,47.9,13.6,22.2,9.5,90.5,40.6
4339.0,1939.0,599.0,1047.0,594.0,112831.0,525.0,3944.0,2458.0,212.0,1723.0,1514.0,89.0,1984.0,2.76,322.0,13.0,0.0,6.0,130.0,06,001,435102,435102,44.7,13.8,24.1,13.7,8.6,13.3,5.9,94.1,46.3
3253.0,888.0,166.0,768.0,1150.0,44554.0,479.0,3224.0,1812.0,294.0,1134.0,1480.0,267.0,1961.0,2.61,795.0,104.0,27.0,76.0,257.0,06,001,435500,435500,27.3,5.1,23.6,35.4,16.2,14.9,18.0,82.0,58.4
2986.0,1212.0,72.0,517.0,1046.0,82917.0,213.0,2940.0,1688.0,82.0,1366.0,1105.0,117.0,1958.0,3.01,290.0,45.0,8.0,31.0,19.0,06,001,438000,438000,40.6,2.4,17.3,35.0,4.9,7.2,10.6,89.4,35.5
3885.0,959.0,173.0,1934.0,631.0,45938.0,573.0,3881.0,1927.0,165.0,892.0,1707.0,199.0,1976.0,2.55,451.0,21.0,23.0,87.0,146.0,06,001,440307,440307,24.7,4.5,49.8,16.2,8.6,14.8,11.7,88.3,61.4
6517.0,2268.0,26.0,2929.0,881.0,88587.0,359.0,6506.0,3589.0,202.0,1208.0,2452.0,114.0,,2.77,661.0,16.0,0.0,20.0,113.0,06,001,441401,441401,34.8,0.4,44.9,13.5,5.6,5.5,4.6,95.4,22.5
4821.0,1848.0,106.0,1638.0,1110.0,90625.0,270.0,4810.0,2653.0,261.0,1833.0,1503.0,48.0,1967.0,3.28,332.0,9.0,10.0,0.0,87.0,06,001,441601,441601,38.3,2.2,34.0,23.0,9.8,5.6,3.2,96.8,31.9
3360.0,591.0,141.0,2397.0,163.0,83964.0,426.0,3322.0,1707.0,108.0,1497.0,1269.0,58.0,1980.0,2.77,661.0,99.0,38.0,25.0,107.0,06,001,443321,443321,17.6,4.2,71.3,4.9,6.3,12.8,4.6,95.4,40.7
3735.0,1094.0,56.0,1156.0,1161.0,82098.0,65.0,3735.0,2006.0,195.0,1190.0,1184.0,23.0,1974.0,3.22,318.0,0.0,14.0,0.0,101.0,06,001,444301,444301,29.3,1.5,31.0,31.1,9.7,1.7,1.9,98.1,36.2
5017.0,1848.0,437.0,1385.0,1136.0,90114.0,432.0,5004.0,2696.0,514.0,2001.0,1500.0,82.0,1969.0,3.53,313.0,57.0,0.0,23.0,89.0,06,001,444601,444601,36.8,8.7,27.6,22.6,19.1,8.6,5.5,94.5,54.0
3416.0,1046.0,250.0,1793.0,234.0,133061.0,65.0,3416.0,1600.0,91.0,2001.0,976.0,15.0,1970.0,3.55,155.0,13.0,0.0,0.0,17.0,06,001,443322,443322,30.6,7.3,52.5,6.9,5.7,1.9,1.5,98.5,19.4
4650.0,577.0,435.0,1187.0,2211.0,69085.0,716.0,4630.0,2545.0,238.0,1228.0,1317.0,77.0,1974.0,3.74,595.0,44.0,105.0,23.0,207.0,06,001,444302,444302,12.4,9.4,25.5,47.5,9.4,15.5,5.8,94.2,63.7
4256.0,1067.0,122.0,2191.0,646.0,104551.0,227.0,4256.0,2549.0,144.0,1722.0,1622.0,68.0,1984.0,2.74,542.0,20.0,63.0,15.0,45.0,06,001,444602,444602,25.1,2.9,51.5,15.2,5.6,5.3,4.2,95.8,26.4
8345.0,2054.0,1679.0,1698.0,2387.0,128233.0,96.0,4056.0,2060.0,67.0,1763.0,1357.0,75.0,2002.0,3.16,426.0,22.0,22.0,111.0,52.0,06,001,450102,450102,24.6,20.1,20.3,28.6,3.3,2.4,5.5,94.5,48.6
3307.0,2126.0,95.0,375.0,586.0,106976.0,97.0,3297.0,1864.0,79.0,1510.0,1271.0,30.0,1981.0,2.66,321.0,21.0,0.0,20.0,61.0,06,001,450501,450501,64.3,2.9,11.3,17.7,4.2,2.9,2.4,97.6,31.8
4703.0,3119.0,31.0,1049.0,274.0,148882.0,38.0,4703.0,2596.0,254.0,1823.0,1575.0,26.0,1987.0,3.03,75.0,17.0,10.0,26.0,0.0,06,001,450502,450502,66.3,0.7,22.3,5.8,9.8,0.8,1.7,98.3,70.7
4624.0,2633.0,11.0,1238.0,601.0,116339.0,243.0,4624.0,2387.0,195.0,1384.0,1476.0,17.0,1980.0,3.17,178.0,0.0,0.0,0.0,22.0,06,001,450744,450744,56.9,0.2,26.8,13.0,8.2,5.3,1.2,98.8,12.4
5857.0,2656.0,91.0,2497.0,316.0,124740.0,280.0,5857.0,3120.0,188.0,1748.0,1872.0,37.0,1990.0,3.19,625.0,109.0,13.0,24.0,163.0,06,001,450745,450745,45.3,1.6,42.6,5.4,6.0,4.8,2.0,98.0,49.4
4240.0,1879.0,259.0,1431.0,465.0,121042.0,111.0,4233.0,2865.0,240.0,1968.0,1916.0,164.0,2002.0,2.42,1281.0,62.0,72.0,72.0,191.0,06,001,450101,450101,44.3,6.1,33.8,11.0,8.4,2.6,8.6,91.4,31.0
3779.0,1196.0,1605.0,280.0,374.0,39900.0,557.0,3779.0,1995.0,201.0,1248.0,1962.0,276.0,1939.0,2.23,1196.0,94.0,205.0,48.0,349.0,06,001,400700,400700,31.6,42.5,7.4,9.9,10.1,14.7,14.1,85.9,58.2
1547.0,217.0,1003.0,78.0,247.0,35389.0,448.0,1525.0,851.0,140.0,995.0,784.0,135.0,1939.0,2.38,445.0,25.0,72.0,0.0,161.0,06,001,402700,402700,14.0,64.8,5.0,16.0,16.5,29.4,17.2,82.8,58.0
1241.0,246.0,165.0,616.0,160.0,22222.0,318.0,1200.0,581.0,28.0,745.0,862.0,82.0,1943.0,1.53,771.0,147.0,40.0,46.0,154.0,06,001,402900,402900,19.8,13.3,49.6,12.9,4.8,26.5,9.5,90.5,50.2
4577.0,1377.0,937.0,1153.0,790.0,40462.0,676.0,4554.0,2717.0,214.0,994.0,3150.0,195.0,1961.0,1.53,2607.0,340.0,170.0,79.0,645.0,06,001,403400,403400,30.1,20.5,25.2,17.3,7.9,14.8,6.2,93.8,47.3
4370.0,3258.0,233.0,483.0,143.0,147717.0,102.0,4370.0,2579.0,85.0,1966.0,1883.0,49.0,1959.0,2.38,105.0,13.0,9.0,0.0,10.0,06,001,404600,404600,74.6,5.3,11.1,3.3,3.3,2.3,2.6,97.4,30.5
4650.0,117.0,814.0,1263.0,2382.0,31313.0,1461.0,4626.0,2403.0,293.0,959.0,1598.0,241.0,1945.0,3.4,1066.0,126.0,65.0,84.0,330.0,06,001,406201,406201,2.5,17.5,27.2,51.2,12.2,31.6,15.1,84.9,56.8
3581.0,1089.0,553.0,1119.0,554.0,75968.0,174.0,3569.0,2180.0,161.0,1111.0,1484.0,130.0,1947.0,2.64,413.0,41.0,64.0,21.0,134.0,06,001,406800,406800,30.4,15.4,31.2,15.5,7.4,4.9,8.8,91.2,63.0
2822.0,613.0,910.0,394.0,707.0,68452.0,203.0,2070.0,1310.0,121.0,1133.0,805.0,119.0,1940.0,3.01,186.0,0.0,18.0,6.0,57.0,06,001,407800,407800,21.7,32.2,14.0,25.1,9.2,9.8,14.8,85.2,43.5
