City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,Median Rent,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,state,county,Tract_ID,Burdened_Households,Rent Burden
Oakland,407700,EOL,407700,Census Tract 4077; Alameda County; California,4261.0,1893.0,894.0,250.0,915.0,2277.0,0.0,83.0,36.0,136.0,474.0,06,001,407700,255.0,53.8
Oakland,407800,EOL,407800,Census Tract 4078; Alameda County; California,2710.0,922.0,587.0,285.0,795.0,1703.0,14.0,4.0,37.0,78.0,184.0,06,001,407800,133.0,72.3
Oakland,407900,EOL,407900,Census Tract 4079; Alameda County; California,3101.0,1354.0,262.0,458.0,508.0,1727.0,99.0,52.0,0.0,139.0,399.0,06,001,407900,290.0,72.7
Oakland,408200,EOL,408200,Census Tract 4082; Alameda County; California,4743.0,922.0,1729.0,231.0,1535.0,2068.0,138.0,19.0,97.0,185.0,847.0,06,001,408200,439.0,51.8
Oakland,408300,EOL,408300,Census Tract 4083; Alameda County; California,4555.0,987.0,1537.0,590.0,1124.0,2257.0,25.0,0.0,134.0,176.0,552.0,06,001,408300,335.0,60.7
Oakland,408400,EOL,408400,Census Tract 4084; Alameda County; California,4098.0,261.0,1510.0,263.0,2045.0,2097.0,21.0,35.0,86.0,245.0,707.0,06,001,408400,387.0,54.7
Oakland,408500,EOL,408500,Census Tract 4085; Alameda County; California,5540.0,46.0,2061.0,301.0,2654.0,1683.0,75.0,27.0,141.0,257.0,968.0,06,001,408500,500.0,51.7
Oakland,408600,EOL,408600,Census Tract 4086; Alameda County; California,6364.0,458.0,2075.0,154.0,3366.0,1978.0,47.0,116.0,52.0,278.0,1033.0,06,001,408600,493.0,47.7
Oakland,408700,EOL,408700,Census Tract 4087; Alameda County; California,7411.0,695.0,2165.0,502.0,3923.0,1121.0,21.0,107.0,243.0,746.0,1597.0,06,001,408700,1117.0,69.9
Oakland,408800,EOL,408800,Census Tract 4088; Alameda County; California,7045.0,323.0,2289.0,462.0,3093.0,963.0,193.0,142.0,177.0,675.0,1983.0,06,001,408800,1187.0,59.9
Oakland,408900,EOL,408900,Census Tract 4089; Alameda County; California,4240.0,197.0,684.0,79.0,3233.0,1285.0,45.0,58.0,120.0,283.0,820.0,06,001,408900,506.0,61.7
Oakland,409000,EOL,409000,Census Tract 4090; Alameda County; California,4914.0,194.0,1304.0,502.0,2819.0,1870.0,28.0,0.0,36.0,148.0,513.0,06,001,409000,212.0,41.3
Oakland,409100,EOL,409100,Census Tract 4091; Alameda County; California,2388.0,210.0,384.0,145.0,1602.0,2042.0,37.0,7.0,17.0,76.0,247.0,06,001,409100,137.0,55.5
Oakland,409200,EOL,409200,Census Tract 4092; Alameda County; California,3832.0,77.0,914.0,169.0,2476.0,2003.0,42.0,13.0,50.0,116.0,441.0,06,001,409200,221.0,50.1
Oakland,409300,EOL,409300,Census Tract 4093; Alameda County; California,5577.0,121.0,1074.0,252.0,3873.0,1728.0,91.0,160.0,20.0,349.0,991.0,06,001,409300,620.0,62.6
Oakland,409400,EOL,409400,Census Tract 4094; Alameda County; California,5032.0,157.0,847.0,274.0,3682.0,2032.0,81.0,42.0,92.0,195.0,675.0,06,001,409400,410.0,60.7
Oakland,409500,EOL,409500,Census Tract 4095; Alameda County; California,4502.0,456.0,677.0,125.0,3111.0,1802.0,86.0,69.0,112.0,315.0,786.0,06,001,409500,582.0,74.0
Oakland,409600,EOL,409600,Census Tract 4096; Alameda County; California,5313.0,65.0,1584.0,4.0,3569.0,1456.0,95.0,67.0,48.0,392.0,1039.0,06,001,409600,602.0,57.9
Oakland,409700,EOL,409700,Census Tract 4097; Alameda County; California,5061.0,306.0,1933.0,20.0,2190.0,1327.0,68.0,194.0,175.0,612.0,1300.0,06,001,409700,1049.0,80.7
Oakland,409800,EOL,409800,Census Tract 4098; Alameda County; California,3405.0,449.0,1652.0,243.0,666.0,2170.0,64.0,62.0,0.0,173.0,453.0,06,001,409800,299.0,66.0
Oakland,410100,EOL,410100,Census Tract 4101; Alameda County; California,2893.0,320.0,1548.0,291.0,519.0,1811.0,0.0,50.0,53.0,172.0,420.0,06,001,410100,275.0,65.5
Oakland,410200,EOL,410200,Census Tract 4102; Alameda County; California,3545.0,266.0,1205.0,87.0,1555.0,2068.0,77.0,76.0,33.0,159.0,545.0,06,001,410200,345.0,63.3
