City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B23025_005E,B23025_002E,C16002_004E,C16002_007E,C16002_001E,state,county,Tract_ID,Rent Burden,Unemployment Rate,% Spanish LE,% Asian LE
Oakland,407102,EOL,407102,Census Tract 4071.02; Alameda County; California,4464.0,324.0,1033.0,1215.0,1579.0,35.0,51.0,52.0,93.0,597.0,92.0,2122.0,111.0,0.0,1423.0,06,001,407102,38.7,4.3,7.8,0.0
Oakland,407200,EOL,407200,Census Tract 4072; Alameda County; California,6483.0,727.0,178.0,513.0,4878.0,237.0,22.0,72.0,473.0,1361.0,159.0,3046.0,212.0,0.0,1896.0,06,001,407200,59.1,5.2,11.2,0.0
Oakland,407300,EOL,407300,Census Tract 4073; Alameda County; California,2401.0,295.0,259.0,287.0,1482.0,39.0,7.0,42.0,148.0,407.0,165.0,1186.0,46.0,0.0,674.0,06,001,407300,58.0,13.9,6.8,0.0
Oakland,407400,EOL,407400,Census Tract 4074; Alameda County; California,4268.0,259.0,1485.0,405.0,2030.0,128.0,73.0,130.0,343.0,980.0,118.0,1932.0,167.0,0.0,1324.0,06,001,407400,68.8,6.1,12.6,0.0
Oakland,407500,EOL,407500,Census Tract 4075; Alameda County; California,3687.0,292.0,469.0,487.0,2335.0,116.0,0.0,145.0,214.0,816.0,85.0,1625.0,92.0,0.0,1298.0,06,001,407500,58.2,5.2,7.1,0.0
Oakland,407600,EOL,407600,Census Tract 4076; Alameda County; California,6793.0,1605.0,1268.0,877.0,2684.0,59.0,64.0,237.0,317.0,1073.0,221.0,3782.0,215.0,37.0,2177.0,06,001,407600,63.1,5.8,9.9,1.7
Oakland,407700,EOL,407700,Census Tract 4077; Alameda County; California,4261.0,1893.0,894.0,250.0,915.0,0.0,83.0,36.0,136.0,474.0,145.0,2424.0,6.0,0.0,1694.0,06,001,407700,53.8,6.0,0.4,0.0
Oakland,407800,EOL,407800,Census Tract 4078; Alameda County; California,2710.0,922.0,587.0,285.0,795.0,14.0,4.0,37.0,78.0,184.0,57.0,1377.0,0.0,0.0,751.0,06,001,407800,72.3,4.1,0.0,0.0
Oakland,407900,EOL,407900,Census Tract 4079; Alameda County; California,3101.0,1354.0,262.0,458.0,508.0,99.0,52.0,0.0,139.0,399.0,98.0,1740.0,0.0,17.0,1322.0,06,001,407900,72.7,5.6,0.0,1.3
Oakland,408200,EOL,408200,Census Tract 4082; Alameda County; California,4743.0,922.0,1729.0,231.0,1535.0,138.0,19.0,97.0,185.0,847.0,57.0,2480.0,70.0,0.0,1893.0,06,001,408200,51.8,2.3,3.7,0.0
Oakland,408300,EOL,408300,Census Tract 4083; Alameda County; California,4555.0,987.0,1537.0,590.0,1124.0,25.0,0.0,134.0,176.0,552.0,178.0,2550.0,50.0,0.0,1866.0,06,001,408300,60.7,7.0,2.7,0.0
Oakland,408400,EOL,408400,Census Tract 4084; Alameda County; California,4098.0,261.0,1510.0,263.0,2045.0,21.0,35.0,86.0,245.0,707.0,171.0,2257.0,137.0,0.0,1333.0,06,001,408400,54.7,7.6,10.3,0.0
Oakland,408500,EOL,408500,Census Tract 4085; Alameda County; California,5540.0,46.0,2061.0,301.0,2654.0,75.0,27.0,141.0,257.0,968.0,252.0,2885.0,132.0,0.0,1759.0,06,001,408500,51.7,8.7,7.5,0.0
Oakland,408600,EOL,408600,Census Tract 4086; Alameda County; California,6364.0,458.0,2075.0,154.0,3366.0,47.0,116.0,52.0,278.0,1033.0,207.0,3363.0,130.0,0.0,2011.0,06,001,408600,47.7,6.2,6.5,0.0
Oakland,408700,EOL,408700,Census Tract 4087; Alameda County; California,7411.0,695.0,2165.0,502.0,3923.0,21.0,107.0,243.0,746.0,1597.0,204.0,3300.0,132.0,0.0,2764.0,06,001,408700,69.9,6.2,4.8,0.0
Oakland,408800,EOL,408800,Census Tract 4088; Alameda County; California,7045.0,323.0,2289.0,462.0,3093.0,193.0,142.0,177.0,675.0,1983.0,241.0,3242.0,138.0,0.0,2365.0,06,001,408800,59.9,7.4,5.8,0.0
Oakland,408900,EOL,408900,Census Tract 4089; Alameda County; California,4240.0,197.0,684.0,79.0,3233.0,45.0,58.0,120.0,283.0,820.0,252.0,2194.0,100.0,0.0,1166.0,06,001,408900,61.7,11.5,8.6,0.0
Oakland,409000,EOL,409000,Census Tract 4090; Alameda County; California,4914.0,194.0,1304.0,502.0,2819.0,28.0,0.0,36.0,148.0,513.0,147.0,2212.0,82.0,0.0,1027.0,06,001,409000,41.3,6.6,8.0,0.0
Oakland,409100,EOL,409100,Census Tract 4091; Alameda County; California,2388.0,210.0,384.0,145.0,1602.0,37.0,7.0,17.0,76.0,247.0,11.0,1204.0,6.0,0.0,678.0,06,001,409100,55.5,0.9,0.9,0.0
Oakland,409200,EOL,409200,Census Tract 4092; Alameda County; California,3832.0,77.0,914.0,169.0,2476.0,42.0,13.0,50.0,116.0,441.0,119.0,1859.0,108.0,0.0,1046.0,06,001,409200,50.1,6.4,10.3,0.0
Oakland,409300,EOL,409300,Census Tract 4093; Alameda County; California,5577.0,121.0,1074.0,252.0,3873.0,91.0,160.0,20.0,349.0,991.0,124.0,2540.0,201.0,10.0,1695.0,06,001,409300,62.6,4.9,11.9,0.6
